START LEVEL,STOP LEVEL,Integral Diff,Integral,TRANSITION,GATE,mean,fwhm,amplitude,m,q,err_mean,err_fwhm,err_amplitude,err_m,err_q
11131.6,4315.22,0.0000,268.5126,6814.4000,1007.7000,6815.1514,5.8348,43.2355,-0.1839,1256.5702,0.4282,1.0778,6.5795,0.1520,1035.7818
11131.6,4930.74,0.0000,734.0385,6199.9000,1016.9000,6199.6198,6.8377,100.8580,-0.4687,2912.6959,0.2638,0.6723,8.0747,0.2015,1249.1881
11131.6,6146.14,0.0000,1229.0196,4984.4000,1017.0000,4973.8111,3.8392,300.7624,-0.4484,2289.2612,0.2749,0.7096,45.2690,0.9428,4701.6585
11131.6,3676.092,0.0000,252.4579,7454.4000,1017.5000,7454.0004,6.3731,37.2168,0.1184,-880.6149,0.4024,1.0189,4.8745,0.1174,875.0495
11131.6,3307.872,0.0000,1311.5253,7822.3000,1024.7380,7821.9715,7.0745,174.1734,-0.0166,133.7345,0.1468,0.3752,7.5003,0.1902,1488.0901
11131.6,6575.2,0.0000,892.5355,4556.1200,1025.0000,4554.082,7.352006,114.0477,0,0,0.9317128,1.624621,24.91699,0,0
11131.6,4358.44,0.0000,10934.4934,6772.3000,1050.6000,6771.6983,6.3703,1612.6450,-0.7846,5339.8529,0.0634,0.1605,33.2950,0.8018,5429.9414
11131.6,5935.8,0.0000,634.2310,5195.5000,1050.9000,5195.3447,4.5852,129.9549,0.3740,-1911.2701,0.2024,0.5012,11.8672,0.2431,1263.0539
11131.6,5995.68,0.0000,1224.2896,5135.8000,1064.1000,5136.2225,7.0628,162.8580,-0.2416,1244.8470,0.3120,0.7985,14.9371,0.3798,1949.8487
11131.6,3357.29,0.0000,84824.3878,7773.4000,1074.1300,7772.6599,7.0773,11260.3897,-5.8292,45552.6073,0.0692,0.1769,228.4609,5.7974,45064.7470
11131.6,4399.2,0.0000,1060.1155,6731.9000,1091.1000,6730.9418,7.8909,126.2204,-0.0904,600.3612,0.2040,0.5273,6.7713,0.1814,1221.2130
11131.6,5408.4,0.0000,1454.1679,5722.2000,1092.8000,5722.2268,5.9884,228.1424,-0.0912,537.2292,0.1898,0.4782,14.9911,0.3501,2003.4002
11131.6,5289.25,0.0000,2031.0314,5841.9000,1093.2000,5841.8448,6.2780,303.9458,0.0076,-30.7005,0.2134,0.5401,21.4378,0.5131,2996.8428
11131.6,5297.6,0.0000,1058.9094,5833.6000,1101.3000,5833.7066,4.8103,206.8166,-1.4326,8377.9745,0.2642,0.6562,23.5129,0.4934,2877.8909
11131.6,5594.16,0.0000,1645.9339,5537.4400,1113.6000,5537.5901,4.8945,315.9429,-0.1578,875.4724,0.1377,0.3424,18.4029,0.3894,2156.0330
11131.6,3776.27,0.0000,1783.2096,7354.2000,1119.7000,7353.6655,6.9593,240.7357,-0.2464,1842.0984,0.1222,0.3119,8.7738,0.2208,1623.6763
11131.6,2283.119,0.0000,11077.7728,8848.0000,1126.0780,8846.6589,8.3881,1240.7647,-0.6565,5848.2770,0.0999,0.2608,30.6741,0.8522,7541.3630
11131.6,4803.6,0.0000,625.2885,6328.3000,1141.1000,6327.1359,6.6295,88.6137,-0.1871,1183.3013,0.2546,0.6474,7.0634,0.1737,1099.3573
11131.6,1157.0208,0.0000,1501.9245,9974.3000,1157.0040,9970.3769,9.8827,142.7883,-0.0557,562.7263,0.1102,0.3033,3.3257,0.1058,1055.7518
11131.6,5096.87,0.0000,4416.7861,6034.4000,1173.9000,6033.7937,5.4995,754.5483,-0.2534,1542.6165,0.0543,0.1359,15.4302,0.3456,2085.2808
11131.6,6579.6,0.0000,235.8472,4551.7000,1182.7000,4550.5100,4.2508,52.1355,0.6390,-2863.3492,0.4856,1.4190,13.0318,0.6185,2807.9117
11131.6,5096.87,0.0000,27111.3469,6034.4000,1183.1000,6033.6742,5.6716,4491.0336,-2.0372,12354.6166,0.0427,0.1071,70.0712,1.5935,9615.2604
11131.6,5594.16,0.0000,183.6115,5537.4400,1183.5000,5536.6344,3.5126,49.1141,-0.1051,668.8971,0.5499,1.5281,16.0846,1.4958,8286.3586
11131.6,5502.096,0.0000,757.9608,5628.9000,1186.6000,5628.5957,4.5684,155.8783,-0.3959,2279.9538,0.1989,0.4926,14.0415,0.2872,1616.5265
11131.6,6922.5,0.0000,2813.8626,4208.9000,1188.5000,4208.2210,5.6387,468.8426,-1.0080,4280.9667,0.1213,0.3042,20.8985,0.4738,1993.9087
11131.6,5775.76,0.0000,5799.0672,5355.7000,1191.2000,5354.9964,5.4393,1001.6562,-0.5273,2838.4633,0.0537,0.1343,20.4863,0.4563,2443.6028
11131.6,5594.16,0.0000,1203.2400,5537.4400,1194.1000,5537.6639,5.5515,203.6288,-0.0446,250.6282,0.1013,0.2573,7.7148,0.2136,1183.3856
