Integral Diff,Integral,TRANSITION,GATE,m,q,mean,sigma,amplitude
0 , 3550.9936564330596 , 1481.7 , 5734 , -2.4894352025918773 , 3758.191220104897 , 1481.6759089322632 , 1.2113543479455906 , 887.5454596509775
0 , 4216.999105923245 , 1683.4 , 5734 , -4.322557777931893 , 7376.912221199184 , 1683.4954603182528 , 1.1306867769337525 , 1055.8249060579474
0 , 704.9270135964857 , 2037.9 , 5734 , -2.4904482097700362 , 5099.280037889994 , 2037.9053192820088 , 1.699656489520088 , 91.68695752904682
0 , 11554.91012711907 , 2088.0 , 5734 , -2.475842256860798 , 5268.4557636797035 , 2087.332819424743 , 1.3169159729421642 , 3140.97355961295
-1 , 4118.734068116573 , 3113.8 , 5734 , -10.586549915987025 , 33005.452878025586 , 3114.0636597842645 , 1.8398507201927243 , 767.0682319315339
2 , 6369.75039296762 , 1481.7 , 598.9 , 115.01565745781882 , 57471.01056684311 , 1499.681599677065 , -202.72800880788634 , -228278.4806122222
196 , 5698.692474507816 , 1683.4 , 598.9 , -17.42280803737361 , 29761.035913854616 , 1682.9259535178553 , 0.26355810993964224 , 661.9205133688522
0 , 3785.9757227559485 , 2037.9 , 598.9 , 8.012811333401237 , -16062.631176713088 , 2036.067215748666 , 1.39362394483011 , 192.5066494258392
0 , 5194.993544844894 , 2088.0 , 598.9 , -10.747164394549404 , 22771.369761230508 , 2087.835839297959 , 1.3799982474815646 , 352.5517084761464
-1 , 2667.425944481753 , 3113.8 , 598.9 , -22.911965440269043 , 10680.037129633116 , 3121.95065401728 , 170.49552221641142 , 60963.67679093624
0 , 1682.256750801354 , 1481.7 , 815.6 , 0.8596397996633408 , -1189.931863149081 , 1482.1480423928492 , 0.7700305723267871 , 354.3298788701927
0 , 1365.1677604764245 , 1683.4 , 815.6 , -2.7334000308315227 , 4573.074311930612 , 1683.1742796365568 , 1.9036097690273888 , 355.20209791783986
88 , 1018.9687716987187 , 2037.9 , 815.6 , -11.540895128329627 , 23578.49566941725 , 2041.1012966280955 , 0.24521616709559413 , 297.1716698194425
0 , 3450.074551067436 , 2088.0 , 815.6 , -3.5415087974622597 , 7431.126795612695 , 2087.210066754972 , 1.506877706163762 , 797.7980889417875
119 , 365.6058597479362 , 3113.8 , 815.6 , 4.546432610541273 , -14139.894705055875 , 3113.0854830268486 , -0.2329493446574351 , 355.8820410228124
