# 'gammaray_to_be_skipped' is a list of pairs that stores all the pairs of 
# gate-and-spectra that (for some reasons) need to be skipped.
# Each pair should be inserted as GAMMARAY_ENERGY,GATE_ENERGY

1157.004,4932.8
1126.078,3731.0
2656.44,2435.3
2656.44,2936.8
2656.44,4571.5
2656.44,4264.9
1417.0,475.2
1417.0,894.2
1417.0,1107.98
1417.0,1582.8
1417.0,1603.7
1417.0,2247.7
1417.0,2474.9
1417.0,2924.0
1417.0,1995.8
1417.0,2291.4
263.53,1007.7
263.53,1597.3
263.53,1244.75
263.53,1276.0
1641.0,1276.0
263.53,1494.6
651.353,1007.7
651.353,1575.9
263.53,1788.5
263.53,1989.17
651.353,1989.17
263.53,2033.8
1024.738,2033.8
263.53,2088
651.353,2150.9
651.353,2193.2
651.353,2903.4
263.53,2150.9
1024.738,2150.9
263.53,2193.2
263.53,3614.8
263.53,368.208
263.53,3367.0
263.53,3797.2
263.53,3257.7
263.53,3265.5
263.53,2784.8
263.53,2518.8
263.53,605.8
263.53,4647.0
263.53,404.26
263.53,3672.8
263.53,2627.4
263.53,5006.9
1024.738,605.8
1024.738,3265.5
651.353,3265.5
263.53,887.5
2200.1,2037.9
2200.1,3241.4
1074.13,556.8
2200.1,556.8
2540.39,1141.1
1777.973,1839.7
368.208,1420.2
368.208,1872.7
368.208,4638.7
1017.5,1620.4
1017.5,1825.9
1825.9,5628.9
1825.9,1727.6
1839.7,5628.9
1491.1,5628.9
368.208,2534.7
1017.5,2901.4
1017.5,2534.7
2534.7,4919.9
1017.5,4638.7
368.208,519.7
1017.5,519.7
667.3,1384.4
667.3,3515.7
667.3,2957.6
667.3,3543.4
667.3,3441.2
667.3,3392.6
667.3,2513.4
667.3,686.9
2554.9,1384.4
2554.9,2852.9
2554.9,202.1
2554.9,3210.2
667.3,1518.2
667.3,483.4
2554.9,1518.2
667.3,1577.4
1577.4,1672.6
2554.9,1577.4
667.3,1588.7
667.3,1683.4
667.3,3543.5
667.3,3248.6
667.3,1836.6
2554.9,1836.6
667.3,202.1
667.3,2063.2
667.3,2380.7
667.3,3210.2
667.3,2499.0
